"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"IDH2"	"NPM1"	43	6	23	4	1.24266656039111	0.736770903642534	0.217259522633056	0.132667533512896	1
"ASXL1"	"NPM1"	41	8	24	3	0.64420195391561	0.736770903642534	-0.439743009001141	0.132667533512896	1
"ASXL1"	"FLT3"	35	7	30	4	0.670167937912358	0.745131734644397	-0.400226944404956	0.127766939907399	1
"CBL"	"NPM1"	47	2	26	1	0.90502122775578	1	-0.0997968794735658	0	1
"KIT"	"NPM1"	47	2	26	1	0.90502122775578	1	-0.0997968794735658	0	1
"chr8gain"	"NPM1"	47	2	26	1	0.90502122775578	1	-0.0997968794735658	0	1
"ETV6"	"WT1"	64	4	8	0	0	1	-Inf	0	1
"NRAS"	"WT1"	64	4	8	0	0	1	-Inf	0	1
"IDH1"	"WT1"	64	4	8	0	0	1	-Inf	0	1
"CDH2"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"CSF3R"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"KRAS"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"NOTCH2"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"NPM1"	"PTEN"	48	27	1	0	0	1	-Inf	0	1
"JAK2"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"MYCN"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"NPM1"	"U2AF1"	48	27	1	0	0	1	-Inf	0	1
"NPM1"	"RAD21"	48	27	1	0	0	1	-Inf	0	1
"CDKN2A"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"chr5qdel"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"chr5loss"	"NPM1"	48	1	27	0	0	1	-Inf	0	1
"PHF6"	"WT1"	65	3	8	0	0	1	-Inf	0	1
"ATM"	"WT1"	65	3	8	0	0	1	-Inf	0	1
"RUNX1"	"WT1"	65	3	8	0	0	1	-Inf	0	1
"KIT"	"WT1"	65	3	8	0	0	1	-Inf	0	1
"t(8;21)"	"WT1"	65	3	8	0	0	1	-Inf	0	1
"chr8gain"	"WT1"	65	3	8	0	0	1	-Inf	0	1
"inv(16)"	"WT1"	65	3	8	0	0	1	-Inf	0	1
"FLT3"	"TET2"	33	27	9	7	0.951234041279305	1	-0.0499951465258871	0	1
"PHF6"	"TET2"	57	3	16	0	0	1	-Inf	0	1
"ATM"	"TET2"	57	3	16	0	0	1	-Inf	0	1
"RUNX1"	"TET2"	57	3	16	0	0	1	-Inf	0	1
"chr8gain"	"TET2"	57	3	16	0	0	1	-Inf	0	1
"inv(16)"	"TET2"	57	3	16	0	0	1	-Inf	0	1
"ABL1"	"NPM1"	48	1	26	1	1.83048794123223	1	0.604582565865786	0	1
"FLT3"	"IDH1"	40	32	2	2	1.24630060270215	1	0.220179645443233	0	1
