A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
STAG2	chr21gain	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	chr21gain	166	10	6	0	<-3	1.000	1.000	Mutual exclusivity
TET2	RUNX1	133	36	11	2	-0.574	1.000	1.000	Mutual exclusivity
IDH1	STAG2	162	10	10	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	KRAS	162	10	10	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	MYCN	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	MYCN	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	BRAF	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	BRAF	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	U2AF1	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	U2AF1	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
CBL	KRAS	169	3	10	0	<-3	1.000	1.000	Mutual exclusivity
MYCN	KRAS	169	3	10	0	<-3	1.000	1.000	Mutual exclusivity
BRAF	KRAS	169	3	10	0	<-3	1.000	1.000	Mutual exclusivity
U2AF1	KRAS	169	3	10	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	HNRNPK	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	HNRNPK	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	HNRNPK	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	chr22gain	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	chr22gain	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	chr22gain	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	t(11;19)	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	chr5loss	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	chr5loss	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
IDH1	chr13gain	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
STAG2	chr13gain	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
KRAS	chr13gain	169	10	3	0	<-3	1.000	1.000	Mutual exclusivity
KIT	NF1	162	11	9	0	<-3	1.000	1.000	Mutual exclusivity
NRAS	STAG2	151	21	9	1	-0.324	1.000	1.000	Mutual exclusivity
NRAS	ASXL1	140	19	20	3	0.144	1.000	1.000	Co-occurrence
FLT3	KRAS	106	66	6	4	0.099	1.000	1.000	Co-occurrence
CSF3R	SRSF2	166	2	14	0	<-3	1.000	1.000	Mutual exclusivity
SRSF2	MAP2K1	166	14	2	0	<-3	1.000	1.000	Mutual exclusivity
SRSF2	SETBP1	166	14	2	0	<-3	1.000	1.000	Mutual exclusivity
SRSF2	PTEN	166	14	2	0	<-3	1.000	1.000	Mutual exclusivity
SRSF2	CDKN2A	166	14	2	0	<-3	1.000	1.000	Mutual exclusivity
SRSF2	t(15;17)	166	14	2	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	TP53	168	1	13	0	<-3	1.000	1.000	Mutual exclusivity
CDH2	RUNX1	168	1	13	0	<-3	1.000	1.000	Mutual exclusivity
TP53	BIRC3	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	MYD88	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	NOTCH2	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	NOTCH2	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	U2AF2	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	U2AF2	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	GATA2	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
RUNX1	GATA2	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
TP53	RIT1	168	13	1	0	<-3	1.000	1.000	Mutual exclusivity
