"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"IL7R"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"IL7R"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"IL7R"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"SF1"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"SETBP1"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"RAD21"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"SF1"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"PRPF40B"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"SF1"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"chr17loss"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"chr17loss"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"RAD21"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"chr17loss"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"EZH2"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"chr17loss"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"FBXW7"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"IL7R"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"SETBP1"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"NOTCH1"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"PHF6"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"MAP2K1"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"PRPF40B"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"MPL"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"SMC1A"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"KRAS"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"SF1"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"inv(16)"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"SF3B1"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"SETBP1"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"RAD21"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"t(11;19)"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"PRPF40B"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"SMC1A"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"SF1"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"t(11;19)"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"SF3B1"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"MYD88"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"SETBP1"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"NOTCH1"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"RAD21"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"ABL1"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"EZH2"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"PHF6"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"MAP2K1"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"t(8;21)"	"WT1"	117	1	1	0	0	1	-Inf	0	1
"BRINP3"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"PRPF40B"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"MPL"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"SMC1A"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"KRAS"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"FBXW7"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"IL7R"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"SF1"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"chr17loss"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"inv(16)"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"t(11;19)"	"t(8;21)"	117	1	1	0	0	1	-Inf	0	1
"CDH2"	"chr5qdel"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"SF3B1"	117	1	1	0	0	1	-Inf	0	1
"BIRC3"	"chr5qdel"	117	1	1	0	0	1	-Inf	0	1
"chr5qdel"	"MYD88"	117	1	1	0	0	1	-Inf	0	1
